threads,1,n,512,nb,16,stage1,0.181957,stage2,0.096631,stage3,0.226433,lu_inv_blocked,0.505082,
threads,1,n,512,nb,32,stage1,0.182316,stage2,0.096331,stage3,0.219752,lu_inv_blocked,0.498463,
threads,1,n,512,nb,64,stage1,0.180026,stage2,0.096102,stage3,0.216508,lu_inv_blocked,0.492699,
threads,1,n,512,nb,128,stage1,0.180734,stage2,0.097378,stage3,0.217571,lu_inv_blocked,0.495742,
threads,1,n,512,nb,256,stage1,0.179119,stage2,0.097689,stage3,0.218014,lu_inv_blocked,0.494888,
threads,1,n,512,nb,512,stage1,0.174125,stage2,0.097085,stage3,0.213335,lu_inv_blocked,0.484611,
threads,1,n,1024,nb,16,stage1,1.378745,stage2,0.704041,stage3,2.076211,lu_inv_blocked,4.159094,
threads,1,n,1024,nb,32,stage1,1.454218,stage2,0.743354,stage3,2.071543,lu_inv_blocked,4.269199,
threads,1,n,1024,nb,64,stage1,1.392980,stage2,0.722013,stage3,1.951207,lu_inv_blocked,4.066291,
threads,1,n,1024,nb,128,stage1,1.381951,stage2,0.704905,stage3,1.920480,lu_inv_blocked,4.007429,
threads,1,n,1024,nb,256,stage1,1.344696,stage2,0.682459,stage3,1.848802,lu_inv_blocked,3.876049,
threads,1,n,1024,nb,512,stage1,1.316358,stage2,0.660042,stage3,1.846167,lu_inv_blocked,3.822661,
threads,1,n,512,nb,16,stage1,0.181746,stage2,0.096209,stage3,0.226382,lu_inv_blocked,0.504406,
threads,1,n,512,nb,32,stage1,0.182162,stage2,0.096070,stage3,0.219371,lu_inv_blocked,0.497668,
threads,1,n,512,nb,64,stage1,0.179923,stage2,0.095967,stage3,0.216344,lu_inv_blocked,0.492295,
threads,1,n,512,nb,128,stage1,0.180582,stage2,0.097379,stage3,0.217510,lu_inv_blocked,0.495532,
threads,1,n,512,nb,256,stage1,0.179046,stage2,0.097638,stage3,0.218012,lu_inv_blocked,0.494761,
threads,1,n,512,nb,512,stage1,0.174202,stage2,0.097133,stage3,0.213281,lu_inv_blocked,0.484686,
threads,1,n,1024,nb,16,stage1,1.379453,stage2,0.703962,stage3,2.073881,lu_inv_blocked,4.157389,
threads,1,n,1024,nb,32,stage1,1.447368,stage2,0.737664,stage3,2.043215,lu_inv_blocked,4.228334,
threads,1,n,1024,nb,64,stage1,1.391408,stage2,0.719658,stage3,1.943995,lu_inv_blocked,4.055155,
threads,1,n,1024,nb,128,stage1,1.372389,stage2,0.705130,stage3,1.913954,lu_inv_blocked,3.991564,
threads,1,n,1024,nb,256,stage1,1.338447,stage2,0.682613,stage3,1.849836,lu_inv_blocked,3.870990,
threads,1,n,1024,nb,512,stage1,1.317152,stage2,0.660422,stage3,1.845456,lu_inv_blocked,3.823127,
threads,1,n,512,nb,16,stage1,0.181083,stage2,0.096496,stage3,0.225567,lu_inv_blocked,0.503214,
threads,1,n,512,nb,32,stage1,0.180693,stage2,0.095332,stage3,0.218852,lu_inv_blocked,0.494935,
threads,1,n,512,nb,64,stage1,0.179792,stage2,0.096106,stage3,0.216068,lu_inv_blocked,0.492033,
threads,1,n,512,nb,128,stage1,0.180495,stage2,0.097370,stage3,0.217094,lu_inv_blocked,0.495020,
threads,1,n,512,nb,256,stage1,0.178947,stage2,0.097645,stage3,0.217564,lu_inv_blocked,0.494224,
threads,1,n,512,nb,512,stage1,0.174029,stage2,0.097062,stage3,0.213350,lu_inv_blocked,0.484510,
threads,1,n,1024,nb,16,stage1,1.376341,stage2,0.701724,stage3,2.066040,lu_inv_blocked,4.144201,
threads,1,n,1024,nb,32,stage1,1.448087,stage2,0.739968,stage3,2.066683,lu_inv_blocked,4.254819,
threads,1,n,1024,nb,64,stage1,1.402986,stage2,0.730605,stage3,1.975040,lu_inv_blocked,4.108719,
threads,1,n,1024,nb,128,stage1,1.371591,stage2,0.705333,stage3,1.913183,lu_inv_blocked,3.990203,
threads,1,n,1024,nb,256,stage1,1.341794,stage2,0.681753,stage3,1.846263,lu_inv_blocked,3.869905,
threads,1,n,1024,nb,512,stage1,1.315724,stage2,0.660062,stage3,1.843669,lu_inv_blocked,3.819550,
threads,1,n,512,nb,16,stage1,0.180440,stage2,0.095985,stage3,0.224063,lu_inv_blocked,0.500550,
threads,1,n,512,nb,32,stage1,0.180996,stage2,0.095620,stage3,0.219171,lu_inv_blocked,0.495856,
threads,1,n,512,nb,64,stage1,0.179537,stage2,0.095783,stage3,0.215374,lu_inv_blocked,0.490750,
threads,1,n,512,nb,128,stage1,0.180643,stage2,0.097440,stage3,0.217350,lu_inv_blocked,0.495500,
threads,1,n,512,nb,256,stage1,0.178826,stage2,0.097568,stage3,0.217436,lu_inv_blocked,0.493899,
threads,1,n,512,nb,512,stage1,0.174275,stage2,0.097114,stage3,0.213371,lu_inv_blocked,0.484832,
threads,1,n,1024,nb,16,stage1,1.374209,stage2,0.702194,stage3,2.061088,lu_inv_blocked,4.137590,
threads,1,n,1024,nb,32,stage1,1.447401,stage2,0.742017,stage3,2.046135,lu_inv_blocked,4.235639,
threads,1,n,1024,nb,64,stage1,1.393073,stage2,0.724357,stage3,1.966167,lu_inv_blocked,4.083688,
threads,1,n,1024,nb,128,stage1,1.375521,stage2,0.708884,stage3,1.922637,lu_inv_blocked,4.007136,
threads,1,n,1024,nb,256,stage1,1.338375,stage2,0.682005,stage3,1.846106,lu_inv_blocked,3.866587,
threads,1,n,1024,nb,512,stage1,1.314818,stage2,0.659958,stage3,1.843362,lu_inv_blocked,3.818234,
